x,y,z,xArrow,yArrow,zArrow,label
-10,-10,-10,0.03333333333333333,0.03333333333333333,0.03333333333333333,0
-10,-10,-9,0.03558718861209965,0.03558718861209965,0.03202846975088968,1
-10,-10,-8,0.03787878787878788,0.03787878787878788,0.030303030303030304,2
-10,-10,-7,0.040160642570281124,0.040160642570281124,0.028112449799196786,3
-10,-10,-6,0.0423728813559322,0.0423728813559322,0.025423728813559324,4
-10,-10,-5,0.044444444444444446,0.044444444444444446,0.022222222222222223,5
-10,-10,-4,0.046296296296296294,0.046296296296296294,0.018518518518518517,6
-10,-10,-3,0.04784688995215311,0.04784688995215311,0.014354066985645933,7
-10,-10,-2,0.049019607843137254,0.049019607843137254,0.00980392156862745,8
-10,-10,-1,0.04975124378109453,0.04975124378109453,0.004975124378109453,9
-10,-10,0,0.05,0.05,0.0,10
-10,-10,1,0.04975124378109453,0.04975124378109453,-0.004975124378109453,11
-10,-10,2,0.049019607843137254,0.049019607843137254,-0.00980392156862745,12
-10,-10,3,0.04784688995215311,0.04784688995215311,-0.014354066985645933,13
-10,-10,4,0.046296296296296294,0.046296296296296294,-0.018518518518518517,14
-10,-10,5,0.044444444444444446,0.044444444444444446,-0.022222222222222223,15
-10,-10,6,0.0423728813559322,0.0423728813559322,-0.025423728813559324,16
-10,-10,7,0.040160642570281124,0.040160642570281124,-0.028112449799196786,17
-10,-10,8,0.03787878787878788,0.03787878787878788,-0.030303030303030304,18
-10,-10,9,0.03558718861209965,0.03558718861209965,-0.03202846975088968,19
-10,-9,-10,0.03558718861209965,0.03202846975088968,0.03558718861209965,20
-10,-9,-9,0.03816793893129771,0.03435114503816794,0.03435114503816794,21
-10,-9,-8,0.04081632653061224,0.036734693877551024,0.0326530612244898,22
-10,-9,-7,0.043478260869565216,0.0391304347826087,0.030434782608695653,23
-10,-9,-6,0.04608294930875576,0.041474654377880185,0.027649769585253458,24
-10,-9,-5,0.04854368932038835,0.043689320388349516,0.024271844660194174,25
-10,-9,-4,0.050761421319796954,0.04568527918781726,0.02030456852791878,26
-10,-9,-3,0.05263157894736842,0.04736842105263158,0.015789473684210527,27
-10,-9,-2,0.05405405405405406,0.04864864864864865,0.010810810810810811,28
-10,-9,-1,0.054945054945054944,0.04945054945054945,0.005494505494505495,29
-10,-9,0,0.055248618784530384,0.049723756906077346,0.0,30
-10,-9,1,0.054945054945054944,0.04945054945054945,-0.005494505494505495,31
-10,-9,2,0.05405405405405406,0.04864864864864865,-0.010810810810810811,32
-10,-9,3,0.05263157894736842,0.04736842105263158,-0.015789473684210527,33
-10,-9,4,0.050761421319796954,0.04568527918781726,-0.02030456852791878,34
-10,-9,5,0.04854368932038835,0.043689320388349516,-0.024271844660194174,35
-10,-9,6,0.04608294930875576,0.041474654377880185,-0.027649769585253458,36
-10,-9,7,0.043478260869565216,0.0391304347826087,-0.030434782608695653,37
-10,-9,8,0.04081632653061224,0.036734693877551024,-0.0326530612244898,38
